,State,Total Votes,Republican Votes,Republican Percentage,Republican Electoral,Democratic Votes,Democratic Percentage,Democratic Electoral,President Elect,Winning Party,year
22,Missouri,1578628,655039,41.5,0,917315,58.1,15,Harry S Truman,D,1948
23,Montana,224278,96770,43.1,0,119071,53.1,4,Harry S Truman,D,1948
24,Nebraska,488940,264774,54.2,6,224165,45.8,0,Harry S Truman,D,1948
25,Nevada,62117,29357,47.3,0,31291,50.4,3,Harry S Truman,D,1948
26,New Hampshire,231440,121299,52.4,4,107995,46.7,0,Harry S Truman,D,1948
27,New Jersey,1949555,981124,50.3,16,895455,45.9,0,Harry S Truman,D,1948
28,New Mexico,187063,80303,42.9,0,105464,56.4,4,Harry S Truman,D,1948
29,New York,6177337,2841163,46.0,47,2780204,45.0,0,Harry S Truman,D,1948
30,North Carolina,791209,258572,32.7,0,459070,58.0,14,Harry S Truman,D,1948
31,North Dakota,220716,115139,52.2,4,95812,43.4,0,Harry S Truman,D,1948
32,Ohio,2936071,1445684,49.2,0,1452791,49.5,25,Harry S Truman,D,1948
33,Oklahoma,721599,268817,37.3,0,452782,62.7,10,Harry S Truman,D,1948
34,Oregon,524080,260904,49.8,6,243147,46.4,0,Harry S Truman,D,1948
35,Pennsylvania,3735348,1902197,50.9,35,1752426,46.9,0,Harry S Truman,D,1948
36,Rhode Island,327702,135787,41.4,0,188736,57.6,4,Harry S Truman,D,1948
37,South Carolina,142571,5386,3.8,0,34423,24.1,0,Harry S Truman,D,1948
38,South Dakota,250105,129651,51.8,4,117653,47.0,0,Harry S Truman,D,1948
39,Tennessee,550283,202914,36.9,0,270402,49.1,11,Harry S Truman,D,1948
40,Texas,1147245,282240,24.6,0,750700,65.4,23,Harry S Truman,D,1948
41,Utah,276306,124402,45.0,0,149151,54.0,4,Harry S Truman,D,1948
42,Vermont,123382,75926,61.5,3,45557,36.9,0,Harry S Truman,D,1948
43,Virginia,419256,172070,41.0,0,200786,47.9,11,Harry S Truman,D,1948
44,Washington,905058,386314,42.7,0,476165,52.6,8,Harry S Truman,D,1948
45,West Virginia,748750,316251,42.2,0,429188,57.3,8,Harry S Truman,D,1948
46,Wisconsin,1276800,590959,46.3,0,647310,50.7,12,Harry S Truman,D,1948
47,Wyoming,101425,47947,47.3,0,52354,51.6,3,Harry S Truman,D,1948
48,Alabama,426120,149231,35.0,0,275075,64.6,11,Dwight D. Eisenhower,R,1952
49,Arizona,260570,152042,58.3,4,108528,41.7,0,Dwight D. Eisenhower,R,1952
50,Arkansas,404800,177155,43.8,0,226300,55.9,8,Dwight D. Eisenhower,R,1952
51,California,5141849,2897310,56.3,32,2197548,42.7,0,Dwight D. Eisenhower,R,1952
52,Colorado,630103,379782,60.3,6,245504,39.0,0,Dwight D. Eisenhower,R,1952
53,Connecticut,1096911,611012,55.7,8,481649,43.9,0,Dwight D. Eisenhower,R,1952
54,Delaware,174025,90059,51.8,3,83315,47.9,0,Dwight D. Eisenhower,R,1952
55,Florida,989337,544036,55.0,10,444950,45.0,0,Dwight D. Eisenhower,R,1952
56,Georgia,655785,198961,30.3,0,456823,69.7,12,Dwight D. Eisenhower,R,1952
57,Idaho,276254,180707,65.4,4,95081,34.4,0,Dwight D. Eisenhower,R,1952
58,Illinois,4481058,2457327,54.8,27,2013920,44.9,0,Dwight D. Eisenhower,R,1952
59,Indiana,1955049,1136259,58.1,13,801530,41.0,0,Dwight D. Eisenhower,R,1952
60,Iowa,1268773,808906,63.8,10,451513,35.6,0,Dwight D. Eisenhower,R,1952
61,Kansas,896166,616302,68.8,8,273296,30.5,0,Dwight D. Eisenhower,R,1952
62,Kentucky,993148,495029,49.8,0,495729,49.9,10,Dwight D. Eisenhower,R,1952
63,Louisiana,651952,306925,47.1,0,345027,52.9,10,Dwight D. Eisenhower,R,1952
64,Maine,351786,232353,66.0,5,118806,33.8,0,Dwight D. Eisenhower,R,1952
65,Maryland,902074,499424,55.4,9,395337,43.8,0,Dwight D. Eisenhower,R,1952
66,Massachusetts,2383398,1292325,54.2,16,1083525,45.5,0,Dwight D. Eisenhower,R,1952
67,Michigan,2798592,1551529,55.4,20,1230657,44.0,0,Dwight D. Eisenhower,R,1952
68,Minnesota,1379483,763211,55.3,11,608458,44.1,0,Dwight D. Eisenhower,R,1952
69,Mississippi,285532,112966,39.6,0,172566,60.4,8,Dwight D. Eisenhower,R,1952
70,Missouri,1892062,959429,50.7,13,929830,49.1,0,Dwight D. Eisenhower,R,1952
71,Montana,265037,157394,59.4,4,106213,40.1,0,Dwight D. Eisenhower,R,1952
72,Nebraska,609660,421603,69.2,6,188057,30.8,0,Dwight D. Eisenhower,R,1952
73,Nevada,82190,50502,61.4,3,31688,38.6,0,Dwight D. Eisenhower,R,1952
74,New Hampshire,272950,166287,60.9,4,106663,39.1,0,Dwight D. Eisenhower,R,1952
75,New Jersey,2418554,1373613,56.8,16,1015902,42.0,0,Dwight D. Eisenhower,R,1952
76,New Mexico,238608,132170,55.4,4,105661,44.3,0,Dwight D. Eisenhower,R,1952
77,New York,7128239,3952813,55.5,45,3104601,43.6,0,Dwight D. Eisenhower,R,1952
78,North Carolina,1210910,558107,46.1,0,652803,53.9,14,Dwight D. Eisenhower,R,1952
79,North Dakota,270127,191712,71.0,4,76694,28.4,0,Dwight D. Eisenhower,R,1952
80,Ohio,3700758,2100391,56.8,25,1600367,43.2,0,Dwight D. Eisenhower,R,1952
81,Oklahoma,948984,518045,54.6,8,430939,45.4,0,Dwight D. Eisenhower,R,1952
82,Oregon,695059,420815,60.5,6,270579,38.9,0,Dwight D. Eisenhower,R,1952
83,Pennsylvania,4580969,2415789,52.7,32,2146269,46.9,0,Dwight D. Eisenhower,R,1952
84,Rhode Island,414498,210935,50.9,4,203293,49.0,0,Dwight D. Eisenhower,R,1952
85,South Carolina,341087,9793,2.9,0,173004,50.7,8,Dwight D. Eisenhower,R,1952
86,South Dakota,294283,203857,69.3,4,90426,30.7,0,Dwight D. Eisenhower,R,1952
87,Tennessee,892553,446147,50.0,11,443710,49.7,0,Dwight D. Eisenhower,R,1952
88,Texas,2075946,1102878,53.1,24,969228,46.7,0,Dwight D. Eisenhower,R,1952
89,Utah,329554,194190,58.9,4,135364,41.1,0,Dwight D. Eisenhower,R,1952
90,Vermont,153557,109717,71.5,3,43355,28.2,0,Dwight D. Eisenhower,R,1952
91,Virginia,619689,349037,56.3,12,268677,43.4,0,Dwight D. Eisenhower,R,1952
92,Washington,1102708,599107,54.3,9,492845,44.7,0,Dwight D. Eisenhower,R,1952
93,West Virginia,873548,419970,48.1,0,453578,51.9,8,Dwight D. Eisenhower,R,1952
94,Wisconsin,1607370,979744,61.0,12,622175,38.7,0,Dwight D. Eisenhower,R,1952
95,Wyoming,129253,81049,62.7,3,47934,37.1,0,Dwight D. Eisenhower,R,1952
96,Alabama,496861,195694,39.4,0,280844,56.5,10,Dwight D. Eisenhower,R,1956
97,Arizona,290173,176990,61.0,4,112880,38.9,0,Dwight D. Eisenhower,R,1956
98,Arkansas,406572,186287,45.8,0,213277,52.5,8,Dwight D. Eisenhower,R,1956
99,California,5466355,3027668,55.4,32,2420135,44.3,0,Dwight D. Eisenhower,R,1956
100,Colorado,657074,394479,60.0,6,257997,39.3,0,Dwight D. Eisenhower,R,1956
101,Connecticut,1117121,711837,63.7,8,405079,36.3,0,Dwight D. Eisenhower,R,1956
102,Delaware,177988,98057,55.1,3,79421,44.6,0,Dwight D. Eisenhower,R,1956
103,Florida,1125762,643849,57.2,10,480371,42.7,0,Dwight D. Eisenhower,R,1956
104,Georgia,669655,222778,33.3,0,444688,66.4,12,Dwight D. Eisenhower,R,1956
105,Idaho,272989,166979,61.2,4,105868,38.8,0,Dwight D. Eisenhower,R,1956
106,Illinois,4407407,2623327,59.5,27,1775682,40.3,0,Dwight D. Eisenhower,R,1956
107,Indiana,1974607,1182811,59.9,13,783908,39.7,0,Dwight D. Eisenhower,R,1956
108,Iowa,1234564,729187,59.1,10,501858,40.7,0,Dwight D. Eisenhower,R,1956
109,Kansas,866243,566878,65.4,8,296317,34.2,0,Dwight D. Eisenhower,R,1956
110,Kentucky,1053805,572192,54.3,10,476453,45.2,0,Dwight D. Eisenhower,R,1956
111,Louisiana,617544,329047,53.3,10,243977,39.5,0,Dwight D. Eisenhower,R,1956
112,Maine,351706,249238,70.9,5,102468,29.1,0,Dwight D. Eisenhower,R,1956
113,Maryland,932827,559738,60.0,9,372613,39.9,0,Dwight D. Eisenhower,R,1956
114,Massachusetts,2348506,1393197,59.3,16,948190,40.4,0,Dwight D. Eisenhower,R,1956
115,Michigan,3080468,1713647,55.6,20,1359898,44.1,0,Dwight D. Eisenhower,R,1956
116,Minnesota,1340005,719302,53.7,11,617525,46.1,0,Dwight D. Eisenhower,R,1956
117,Mississippi,248104,60685,24.5,0,144453,58.2,8,Dwight D. Eisenhower,R,1956
118,Missouri,1832562,914289,49.9,0,918273,50.1,13,Dwight D. Eisenhower,R,1956
119,Montana,271171,154933,57.1,4,116238,42.9,0,Dwight D. Eisenhower,R,1956
120,Nebraska,577137,378108,65.5,6,199029,34.5,0,Dwight D. Eisenhower,R,1956
121,Nevada,96689,56049,58.0,3,40640,42.0,0,Dwight D. Eisenhower,R,1956
122,New Hampshire,266994,176519,66.1,4,90364,33.8,0,Dwight D. Eisenhower,R,1956
123,New Jersey,2484312,1606942,64.7,16,850337,34.2,0,Dwight D. Eisenhower,R,1956
124,New Mexico,253926,146788,57.8,4,106098,41.8,0,Dwight D. Eisenhower,R,1956
125,New York,7095971,4345506,61.2,45,2747944,38.7,0,Dwight D. Eisenhower,R,1956
126,North Carolina,1165592,575062,49.3,0,590530,50.7,14,Dwight D. Eisenhower,R,1956
127,North Dakota,253991,156766,61.7,4,96742,38.1,0,Dwight D. Eisenhower,R,1956
128,Ohio,3702265,2262610,61.1,25,1439655,38.9,0,Dwight D. Eisenhower,R,1956
129,Oklahoma,859350,473769,55.1,8,385581,44.9,0,Dwight D. Eisenhower,R,1956
130,Oregon,736132,406393,55.2,6,329204,44.7,0,Dwight D. Eisenhower,R,1956
131,Pennsylvania,4576503,2585252,56.5,32,1981769,43.3,0,Dwight D. Eisenhower,R,1956
132,Rhode Island,387609,225819,58.3,4,161790,41.7,0,Dwight D. Eisenhower,R,1956
133,South Carolina,300583,75700,25.2,0,136372,45.4,8,Dwight D. Eisenhower,R,1956
134,South Dakota,293857,171569,58.4,4,122288,41.6,0,Dwight D. Eisenhower,R,1956
135,Tennessee,939404,462288,49.2,11,456507,48.6,0,Dwight D. Eisenhower,R,1956
136,Texas,1955168,1080619,55.3,24,859958,44.0,0,Dwight D. Eisenhower,R,1956
137,Utah,333995,215631,64.6,4,118364,35.4,0,Dwight D. Eisenhower,R,1956
138,Vermont,152978,110390,72.2,3,42549,27.8,0,Dwight D. Eisenhower,R,1956
139,Virginia,697978,386459,55.4,12,267760,38.4,0,Dwight D. Eisenhower,R,1956
140,Washington,1150889,620430,53.9,9,523002,45.4,0,Dwight D. Eisenhower,R,1956
141,West Virginia,830831,449297,54.1,8,381534,45.9,0,Dwight D. Eisenhower,R,1956
142,Wisconsin,1550558,954844,61.6,12,586768,37.8,0,Dwight D. Eisenhower,R,1956
143,Wyoming,124127,74573,60.1,3,49554,39.9,0,Dwight D. Eisenhower,R,1956
144,Alabama,570225,237981,41.7,0,324050,56.8,5,John F. Kennedy,D,1960
145,Alaska,60762,30953,50.9,3,29809,49.1,0,John F. Kennedy,D,1960
146,Arizona,398491,221241,55.5,4,176781,44.4,0,John F. Kennedy,D,1960
147,Arkansas,428509,184508,43.1,0,215049,50.2,8,John F. Kennedy,D,1960
148,California,6506578,3259722,50.1,32,3224099,49.6,0,John F. Kennedy,D,1960
149,Colorado,736236,402242,54.6,6,330629,44.9,0,John F. Kennedy,D,1960
150,Connecticut,1222883,565813,46.3,0,657055,53.7,8,John F. Kennedy,D,1960
151,Delaware,196683,96373,49.0,0,99590,50.6,3,John F. Kennedy,D,1960
152,Florida,1544176,795476,51.5,10,748700,48.5,0,John F. Kennedy,D,1960
153,Georgia,733349,274472,37.4,0,458638,62.5,12,John F. Kennedy,D,1960
154,Hawaii,184705,92295,50.0,0,92410,50.0,3,John F. Kennedy,D,1960
155,Idaho,300450,161597,53.8,4,138853,46.2,0,John F. Kennedy,D,1960
156,Illinois,4757409,2368988,49.8,0,2377846,50.0,27,John F. Kennedy,D,1960
157,Indiana,2135360,1175120,55.0,13,952358,44.6,0,John F. Kennedy,D,1960
158,Iowa,1273810,722381,56.7,10,550565,43.2,0,John F. Kennedy,D,1960
159,Kansas,928825,561474,60.4,8,363213,39.1,0,John F. Kennedy,D,1960
160,Kentucky,1124462,602607,53.6,10,521855,46.4,0,John F. Kennedy,D,1960
161,Louisiana,807891,230980,28.6,0,407339,50.4,10,John F. Kennedy,D,1960
162,Maine,421767,240608,57.0,5,181159,43.0,0,John F. Kennedy,D,1960
